MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
16.740,502,72,410,3
16.760,502,68,409,3
16.780,502,132,409,3
16.800,502,132,409,3
16.820,502,64,408,3
16.840,501,128,408,3
16.860,501,128,408,3
16.880,502,128,408,3
16.900,502,64,408,3
16.920,502,128,408,3
16.940,502,140,407,3
16.960,501,140,407,3
16.980,501,140,407,3
17.000,502,140,407,3
17.020,502,136,406,3
17.040,502,136,406,3
17.060,501,136,406,3
17.080,502,136,406,3
17.100,502,72,406,3
17.120,502,68,405,3
17.140,502,132,405,3
17.160,502,132,405,3
17.180,502,128,404,3
17.200,502,128,404,3
17.220,501,64,404,3
17.240,502,64,404,3
17.260,502,128,404,3
17.280,502,140,403,3
17.300,502,140,403,3
17.320,502,76,403,3
17.340,502,140,403,3
17.360,502,140,403,3
17.380,503,140,403,3
17.400,502,136,402,3
17.420,501,136,402,3
17.440,502,136,402,3
17.460,502,136,402,3
17.480,502,68,401,3
17.500,503,132,401,3
17.520,501,132,401,3
17.540,502,128,400,3
17.560,502,128,400,3
17.580,502,128,400,3
17.600,503,128,400,3
17.620,503,128,400,3
17.640,502,192,400,3
17.660,502,140,399,3
17.680,502,76,399,3
17.700,502,140,399,3
17.720,503,140,399,3
17.740,502,140,399,3
17.760,502,204,399,3
17.780,502,72,398,3
17.800,502,136,398,3
17.820,502,136,398,3
17.840,502,136,398,3
17.860,502,200,398,3
17.880,502,196,397,3
17.900,502,132,397,3
17.920,502,132,397,3
17.940,502,128,396,3
17.960,503,132,397,3
17.980,502,192,396,3
18.000,502,128,396,3
18.020,502,128,396,3
18.040,502,128,396,3
18.060,502,128,396,3
18.080,502,140,395,3
18.100,502,140,395,3
18.120,502,140,395,3
18.140,502,140,395,3
18.160,503,140,395,3
18.180,502,136,394,3
18.200,502,136,394,3
18.220,502,200,394,3
18.240,502,136,394,3
18.260,502,132,393,3
18.280,503,132,393,3
18.300,502,132,393,3
18.320,502,132,393,3
18.340,502,128,392,3
18.360,502,132,393,3
18.380,502,128,392,3
18.400,502,128,392,3
18.420,502,192,392,3
18.440,502,128,392,3
18.460,502,140,391,3
18.480,503,140,391,3
18.500,503,140,391,3
18.520,502,140,391,3
18.540,502,204,391,3
18.560,502,140,391,3
18.580,502,136,390,3
18.600,502,136,390,3
18.620,502,136,390,3
18.640,503,136,390,3
18.660,502,136,390,3
18.680,503,132,389,3
18.700,502,132,389,3
18.720,503,132,389,3
18.740,503,196,389,3
18.760,503,196,389,3
18.780,503,128,388,3
18.800,502,128,388,3
18.820,502,128,388,3
18.840,503,128,388,3
18.860,502,128,388,3
18.880,503,140,387,3
18.900,503,204,387,3
18.920,502,140,387,3
18.940,503,204,387,3
18.960,503,140,387,3
18.980,503,204,387,3
19.000,502,200,386,3
19.020,502,200,386,3
19.040,502,200,386,3
19.060,502,136,386,3
19.080,503,132,385,3
19.100,503,196,385,3
19.120,503,132,385,3
19.140,503,196,385,3
19.160,503,196,385,3
19.180,502,132,385,3
19.200,503,192,384,3
19.220,503,192,384,3
19.240,502,192,384,3
19.260,503,128,384,3
19.280,503,128,384,3
19.300,503,128,384,3
19.320,503,128,384,3
19.340,503,204,383,3
19.360,502,204,383,3
19.380,503,204,383,3
19.400,503,204,383,3
19.420,502,204,383,3
19.440,503,140,383,3
19.460,503,200,382,3
19.480,503,200,382,3
19.500,503,136,382,3
19.520,503,200,382,3
19.540,503,200,382,3
19.560,502,200,382,3
19.580,503,196,381,3
19.600,503,196,381,3
19.620,503,132,381,3
19.640,503,192,380,3
19.660,503,192,380,3
19.680,503,128,380,3
19.700,503,192,380,3
19.720,503,192,380,3
19.740,503,192,380,3
19.760,503,192,380,3
19.780,503,192,380,3
19.800,503,192,380,3
19.820,503,140,379,3
19.840,503,204,379,3
19.860,503,204,379,3
19.880,502,204,379,3
19.900,503,204,379,3
19.920,503,200,378,3
19.940,503,200,378,3
19.960,503,200,378,3
19.980,502,200,378,3
20.000,503,200,378,3
20.020,503,196,377,3
20.040,503,196,377,3
20.060,503,196,377,3
20.080,503,196,377,3
20.100,503,196,377,3
20.120,503,196,377,3
20.140,503,132,377,3
20.160,503,192,376,3
20.180,503,192,376,3
20.200,503,192,376,3
20.220,503,192,376,3
20.240,503,128,376,3
20.260,503,192,376,3
20.280,503,192,376,3
20.300,503,204,375,3
20.320,503,204,375,3
20.340,503,204,375,3
20.360,503,204,375,3
20.380,503,204,375,3
20.400,503,200,374,3
20.420,503,200,374,3
20.440,503,200,374,3
20.460,502,200,374,3
20.480,504,200,374,3
20.500,503,200,374,3
20.520,503,200,374,3
20.540,503,196,373,3
20.560,503,196,373,3
20.580,503,196,373,3
20.600,503,196,373,3
20.620,503,196,373,3
20.640,503,196,373,3
20.660,504,192,372,3
20.680,503,192,372,3
20.700,503,192,372,3
20.720,503,128,372,3
20.740,503,0,372,3
20.760,503,204,371,3
20.780,504,204,371,3
20.800,503,192,372,3
20.820,503,204,371,3
20.840,503,204,371,3
20.860,503,204,371,3
20.880,503,204,371,3
20.900,504,204,371,3
20.920,503,12,371,3
20.940,503,200,370,3
20.960,503,204,371,3
20.980,503,200,370,3
21.000,503,200,370,3
21.020,503,200,370,3
21.040,503,4,369,3
21.060,503,196,369,3
21.080,504,196,369,3
21.100,503,196,369,3
21.120,503,196,369,3
21.140,503,196,369,3
21.160,503,4,369,3
21.180,503,192,368,3
21.200,503,192,368,3
21.220,503,192,368,3
21.240,504,192,368,3
21.260,504,192,368,3
21.280,503,192,368,3
21.300,503,192,368,3
21.320,503,192,368,3
21.340,504,0,368,3
21.360,504,204,367,3
21.380,503,192,368,3
21.400,503,204,367,3
21.420,503,204,367,3
21.440,503,204,367,3
21.460,503,204,367,3
21.480,504,200,366,3
21.500,504,8,366,3
21.520,503,8,366,3
21.540,503,200,366,3
21.560,503,200,366,3
21.580,504,200,366,3
21.600,503,8,366,3
21.620,503,8,366,3
21.640,503,196,365,3
21.660,504,196,365,3
21.680,503,196,365,3
21.700,503,196,365,3
21.720,504,196,365,3
21.740,504,0,364,3
21.760,504,4,365,3
21.780,503,192,364,3
21.800,504,192,364,3
21.820,504,192,364,3
21.840,503,0,364,3
21.860,503,192,364,3
21.880,503,192,364,3
21.900,504,192,364,3
21.920,503,12,363,3
21.940,504,204,363,3
21.960,503,204,363,3
21.980,503,12,363,3
22.000,504,12,363,3
22.020,504,12,363,3
22.040,504,204,363,3
22.060,504,12,363,3
22.080,504,12,363,3
22.100,503,204,363,3
22.120,504,200,362,3
22.140,504,204,363,3
22.160,504,8,362,3
22.180,503,200,362,3
22.200,503,4,361,3
22.220,503,196,361,3
22.240,504,196,361,3
22.260,503,4,361,3
22.280,503,4,361,3
22.300,504,4,361,3
22.320,503,4,361,3
22.340,504,4,361,3
22.360,503,192,360,3
22.380,503,0,360,3
22.400,504,0,360,3
22.420,503,0,360,3
22.440,504,192,360,3
22.460,504,192,360,3
22.480,503,192,360,3
22.500,504,0,360,3
22.520,504,204,359,3
22.540,503,204,359,3
22.560,504,12,359,3
22.580,503,204,359,3
22.600,504,12,359,3
22.620,503,204,359,3
22.640,504,204,359,3
22.660,503,12,359,3
22.680,503,204,359,3
22.700,504,8,358,3
22.720,504,8,358,3
22.740,503,200,358,3
22.760,504,8,358,3
22.780,503,8,358,3
22.800,504,200,358,3
22.820,503,8,358,3
22.840,503,200,358,3
22.860,503,8,358,3
22.880,503,196,357,3
22.900,504,4,357,3
22.920,504,196,357,3
22.940,503,196,357,3
22.960,504,4,357,3
22.980,503,4,357,3
23.000,504,196,357,3
23.020,503,0,356,3
23.040,504,192,356,3
23.060,503,0,356,3
