# [0]SEQN, [1]Timestamp, [2]CPU_User, [3]CPU_System, [4]CPU_Nice, [5]CPU_IOWait, [6]CPU_IRQ, [7]CPU_SoftIRQ, [8]RAM_Used, [9]RAM_Buffer, [10]RAM_Cached, [11]PID, [12]Disk_Used, [13]Disk_Read, [14]Disk_Write, [15]IO_lo_Bytes_Sent, [16]IO_lo_Bytes_Recv, [17]IO_lo_Packets_Sent, [18]IO_lo_Packets_Recv, [19]IO_eth0_Bytes_Sent, [20]IO_eth0_Bytes_Recv, [21]IO_eth0_Packets_Sent, [22]IO_eth0_Packets_Recv, [23]IO_wlan0_Bytes_Sent, [24]IO_wlan0_Bytes_Recv, [25]IO_wlan0_Packets_Sent, [26]IO_wlan0_Packets_Recv, [27]Core_Temp
2770,201780688981219,2.20000004768,3.29999995232,0.0,0.0,0.0,0.0,112222208,25849856,38993920,69,2584621056,0,0,156,156,1,1,0,480730,0,1225,452142,0,331,0,56000
2796,201781195406163,1.10000002384,2.20000004768,0.0,0.0,0.0,1.10000002384,112418816,25849856,38993920,69,2584653824,0,0,156,156,1,1,0,331190,0,1119,300618,0,221,0,56000
2823,201781702151329,2.09999990463,6.19999980927,0.0,0.0,0.0,1.0,112353280,25849856,39051264,69,2584686592,0,0,156,156,1,1,0,400526,0,1167,372780,0,274,0,56000
2848,201782208773016,1.10000002384,3.29999995232,0.0,0.0,0.0,0.0,112451584,25849856,39051264,69,2584719360,0,0,156,156,1,1,0,406034,0,1173,376408,0,276,0,56000
2873,201782714636227,1.10000002384,4.40000009537,0.0,0.0,0.0,0.0,112152576,25849856,39112704,69,2584748032,0,12288,156,156,1,1,0,471196,0,1218,442496,0,324,0,56000
2898,201783221195336,2.20000004768,0.0,0.0,0.0,0.0,1.10000002384,112353280,25849856,39112704,69,2584776704,0,0,156,156,1,1,0,331116,0,1118,300654,0,221,0,56000
2925,201783727959150,0.0,2.29999995232,0.0,0.0,0.0,0.0,112484352,25849856,39170048,69,2584809472,0,0,156,156,1,1,0,411430,0,1175,383338,0,281,0,56000
2950,201784234298190,1.10000002384,4.30000019073,0.0,0.0,0.0,1.10000002384,112648192,25849856,39170048,69,2584838144,0,0,156,156,1,1,0,404738,0,1173,375030,0,275,0,55000
2975,201784740285788,1.10000002384,2.20000004768,0.0,0.0,0.0,1.10000002384,112189440,25849856,39231488,69,2584866816,0,0,156,156,1,1,0,452142,0,1203,423126,0,309,0,55000
3001,201785246570141,0.0,3.29999995232,0.0,0.0,0.0,1.10000002384,112447488,25849856,39231488,69,2584895488,0,0,156,156,1,1,0,354278,0,1135,322666,0,237,0,56000
3026,201785753231079,1.10000002384,3.29999995232,0.0,0.0,0.0,0.0,112414720,25849856,39288832,69,2584928256,0,0,156,156,1,1,0,401800,0,1168,375054,0,275,0,56000
3051,201786259664614,2.09999990463,5.19999980927,0.0,0.0,0.0,1.0,112218112,25849856,39288832,69,2584956928,0,0,156,156,1,1,0,396500,0,1166,366762,0,269,0,56000
3077,201786765819132,1.10000002384,3.29999995232,0.0,0.0,0.0,1.10000002384,112541696,25849856,39350272,69,2584989696,0,0,156,156,1,1,0,457664,0,1208,429068,0,314,0,56000
3103,201787272354216,2.09999990463,6.30000019073,0.0,0.0,0.0,0.0,112640000,25849856,39350272,69,2585018368,0,0,156,156,1,1,0,352842,0,1133,321288,0,236,0,55000
3128,201787779154418,1.0,7.19999980927,0.0,1.0,0.0,1.0,112967680,25849856,39407616,69,2585042944,0,1802240,156,156,1,1,0,399292,0,1169,372308,0,273,0,55000
3153,201788285814936,1.10000002384,3.29999995232,0.0,0.0,0.0,0.0,112967680,25849856,39407616,69,2585071616,0,0,156,156,1,1,0,411406,0,1176,381910,0,280,0,55000
3179,201788792012757,1.10000002384,5.40000009537,0.0,0.0,0.0,1.10000002384,112508928,25849856,39469056,69,2585104384,0,0,156,156,1,1,0,455082,0,1208,425958,0,312,0,55000
3205,201789298470526,2.0,5.09999990463,0.0,0.0,0.0,4.0,112713728,25849856,39469056,69,2585133056,0,0,156,156,1,1,0,358214,0,1136,328168,0,241,0,55000
3231,201789804850493,1.0,2.09999990463,0.0,0.0,0.0,6.30000019073,112971776,25849856,39526400,69,2585165824,0,0,156,156,1,1,0,399248,0,1167,371074,0,272,0,55000
3256,201790311342275,2.09999990463,5.19999980927,0.0,0.0,0.0,3.09999990463,112807936,25849856,39526400,69,2585194496,0,0,156,156,1,1,0,407312,0,1173,377748,0,277,0,56000
3281,201790817560209,1.89999997616,13.5,0.0,0.0,0.0,1.0,112775168,25849856,39587840,69,2585223168,0,0,156,156,1,1,0,431848,0,1191,402608,0,295,0,56000
3307,201791324134963,5.69999980927,22.7999992371,0.0,0.0,0.0,0.800000011921,113197056,25849856,39587840,69,2585251840,0,0,156,156,1,1,0,371900,0,1147,341920,0,251,0,55000
